day,go_to_bad,wake_up
01.03.2023,"(2023, 3, 1, 23, 40, 0, 0, 0, 0)","(2023, 3, 2, 5, 20, 0, 0, 0, 0)"
02.03.2023,"(2023, 3, 2, 22, 55, 0, 0, 0, 0)","(2023, 3, 3, 5, 20, 0, 0, 0, 0)"
03.03.2023,"(2023, 3, 4, 0, 10, 0, 0, 0, 0)","(2023, 3, 4, 5, 20, 0, 0, 0, 0)"
04.03.2023,"(2023, 3, 5, 0, 50, 0, 0, 0, 0)","(2023, 3, 5, 13, 45, 0, 0, 0, 0)"
05.03.2023,"(2023, 3, 5, 23, 40, 0, 0, 0, 0)","(2023, 3, 6, 10, 20, 0, 0, 0, 0)"
06.03.2023,"(2023, 3, 6, 23, 40, 0, 0, 0, 0)","(2023, 3, 7, 5, 20, 0, 0, 0, 0)"
07.03.2023,"(2023, 3, 7, 23, 55, 0, 0, 0, 0)","(2023, 3, 8, 5, 20, 0, 0, 0, 0)"
08.03.2023,"(2023, 3, 9, 1, 5, 0, 0, 0, 0)","(2023, 3, 9, 5, 20, 0, 0, 0, 0)"
09.03.2023,"(2023, 3, 10, 1, 40, 0, 0, 0, 0)","(2023, 3, 10, 5, 20, 0, 0, 0, 0)"
10.03.2023,"(2023, 3, 11, 0, 30, 0, 0, 0, 0)","(2023, 3, 11, 5, 20, 0, 0, 0, 0)"
11.03.2023,"(2023, 3, 11, 23, 20, 0, 0, 0, 0)","(2023, 3, 12, 14, 5, 0, 0, 0, 0)"
12.03.2023,"(2023, 3, 13, 1, 40, 0, 0, 0, 0)","(2023, 3, 13, 10, 45, 0, 0, 0, 0)"
13.03.2023,"(2023, 3, 13, 23, 50, 0, 0, 0, 0)","(2023, 3, 14, 5, 20, 0, 0, 0, 0)"
14.03.2023,"(2023, 3, 15, 0, 40, 0, 0, 0, 0)","(2023, 3, 15, 5, 20, 0, 0, 0, 0)"
15.03.2023,"(2023, 3, 16, 0, 10, 0, 0, 0, 0)","(2023, 3, 16, 5, 20, 0, 0, 0, 0)"
16.03.2023,"(2023, 3, 17, 0, 45, 0, 0, 0, 0)","(2023, 3, 17, 5, 20, 0, 0, 0, 0)"
17.03.2023,"(2023, 3, 17, 23, 55, 0, 0, 0, 0)","(2023, 3, 18, 5, 20, 0, 0, 0, 0)"
18.03.2023,"(2023, 3, 18, 23, 40, 0, 0, 0, 0)","(2023, 3, 19, 13, 45, 0, 0, 0, 0)"
19.03.2023,"(2023, 3, 20, 0, 45, 0, 0, 0, 0)","(2023, 3, 20, 10, 45, 0, 0, 0, 0)"
20.03.2023,"(2023, 3, 21, 0, 20, 0, 0, 0, 0)","(2023, 3, 21, 5, 20, 0, 0, 0, 0)"
21.03.2023,"(2023, 3, 22, 0, 30, 0, 0, 0, 0)","(2023, 3, 22, 5, 20, 0, 0, 0, 0)"
22.03.2023,"(2023, 3, 22, 23, 55, 0, 0, 0, 0)","(2023, 3, 23, 5, 20, 0, 0, 0, 0)"
23.03.2023,"(2023, 3, 24, 0, 20, 0, 0, 0, 0)","(2023, 3, 24, 5, 20, 0, 0, 0, 0)"
24.03.2023,"(2023, 3, 25, 0, 40, 0, 0, 0, 0)","(2023, 3, 25, 5, 20, 0, 0, 0, 0)"
25.03.2023,"(2023, 3, 26, 0, 10, 0, 0, 0, 0)","(2023, 3, 26, 12, 45, 0, 0, 0, 0)"
26.03.2023,"(2023, 3, 27, 2, 40, 0, 0, 0, 0)","(2023, 3, 27, 9, 55, 0, 0, 0, 0)"
27.03.2023,"(2023, 3, 27, 23, 50, 0, 0, 0, 0)","(2023, 3, 28, 5, 20, 0, 0, 0, 0)"
28.03.2023,"(2023, 3, 29, 0, 20, 0, 0, 0, 0)","(2023, 3, 29, 5, 20, 0, 0, 0, 0)"
29.03.2023,"(2023, 3, 30, 0, 45, 0, 0, 0, 0)","(2023, 3, 30, 5, 20, 0, 0, 0, 0)"
30.03.2023,"(2023, 3, 30, 23, 40, 0, 0, 0, 0)","(2023, 3, 31, 5, 20, 0, 0, 0, 0)"
